variant,total_reviews,run_timestamp,summarization_time,analysis_time,total_time,num_chunks,parsing_success,rouge1_f1,rouge2_f1,rougeL_f1,bert_f1
no_summary_module,250,2026-03-05T19:51:36.277032,0,83.84,83.84,0,True,0.0741,0.0248,0.0373,0.7972
no_feature_extraction,250,2026-03-05T21:07:55.152827,25.11,18.05,43.16,2,True,0.5079,0.2133,0.1983,0.8685
