id,name,brand,categories,primaryCategories,reviews.doRecommend,reviews.rating,reviews.text,reviews.title
1,Campus North Plus Running Shoes,Amazon,Product,Product,True,4.0,"Quite comfy and durable
Read more","5.0 out of 5 stars
Nice and stylish shoes"
2,Campus North Plus Running Shoes,Amazon,Product,Product,False,0.0,"I recently bought these running shoes, and I'm reallyimpressed with the comfort and quality. The cushioning is perfect - it absorbs impact really well and makes running or even walking long distances much easier on the feet. The grip is solid, even on slightly wet surfaces, and the shoes feel lightweight but still sturdy.They also fit true to size and have great breathability, so my feet don't feel sweaty after a long run. The design looks sleek and stylish too, so I can easily wear them casually as well. Overall, totally worth the price - perfect for daily runs or workouts. Highly recommended!
Read more","4.0 out of 5 stars
Highly recommended 1"
3,Campus North Plus Running Shoes,Amazon,Product,Product,False,0.0,"It's a very good entry-level which also provides an air capsule which isn't provided by many of the competitors ,  these running shoes at a very reasonable price , & because of diwali sales I found it at very cheap price , thx campus for these running shoes !!
Read more","5.0 out of 5 stars
Good Entry-level Running shoes 👟."
4,Campus North Plus Running Shoes,Amazon,Product,Product,False,0.0,"This is a nice shoe, very light and comfortable. Actually I bought it as a running shoe, but in the first month itself it's entire usable heal got worn off revealing the hard plastic capsule. I did a minor diy job sticking a shaped piece of bicycle tyre at the heal with superglue. Now it's the tenth month and definitely more than a thousand kilometres, it's going strong.😃
Read more","4.0 out of 5 stars
Comfortable and light"
5,Campus North Plus Running Shoes,Amazon,Product,Product,False,0.0,"Product is good. Outer sole is hard, not good for running. Inner sole is just a foam. I have added extra silicon inner sole for softening effect. Grip is good.Quality is average! For JYM is ok
Read more","3.0 out of 5 stars
Good for Jym only as outer sole is hard."
6,Campus North Plus Running Shoes,Amazon,Product,Product,True,4.0,"Value for MoneyRecommend every person don't think buy blindly.
Read more","5.0 out of 5 stars
One of the best shoes of Campus"
7,Campus North Plus Running Shoes,Amazon,Product,Product,False,0.0,"I am using these shoes from past 5 month. I would say It is one of the best shoes for running.I daily run usually 8 km. I have running with these shoes more than 600-700 Km. very comfortable.The shoes is past of my 30 kg weight loss journey. I feel I can use these shoes for next 1 year for running.
Read more","5.0 out of 5 stars
600-700 km running in past 3 months. Best for running"
8,Campus North Plus Running Shoes,Amazon,Product,Product,True,4.0,"Nice shoes, comfortable from inside
Read more","4.0 out of 5 stars
Soft & comfortable"
